,NDB_No,Shrt_Desc,popularity,Protein_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(mcg),Choline_Tot_ (mg),Vit_B12_(mcg),Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_K_(mcg),macro,groupname,micro
3038,35055,"SEAL,BEARDED (OOGRUK),MEAT,DRIED (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3039,35056,"SEAL,BEARDED (OOGRUK),MEAT,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3040,35057,"OIL,BEARDED SEAL (OOGRUK) (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3041,35058,"OOPAH (TUNICATE),WHL ANIMAL (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3042,35059,"OWL,HORNED,FLESH,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3043,35060,"FISH,PIKE,NORTHERN,LIVER (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3044,35063,"RHUBARB,WILD,LEAVES (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3045,35064,"FISH,SALMON,TIPNUK,FERMENTED (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3046,35065,"FISH,SALMON,KING,CHINOOK,KIPPERED,CND (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3047,35066,"FISH,SALMON,KING,CHINOOK,SMOKED & CND (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
